Hop Variety,Crop Year,Origin,Series,Published,Variety Background / Reported Character,Source URL
007 Golden Hop,2016,USA,Pale Ale,2018-01-04,"Idaho Jackson Farm release, formerly Idaho 7; high alpha and oil, orange/tangerine/black tea/pine",https://brulosophy.com/2018/01/04/the-hop-chronicles-007-golden-hop/
African Queen,2021,South Africa,Pale Ale,2024-08-05,"Developed by SAB Hop Farms in 1998, commercially released 2014",https://brulosophy.com/2024/08/05/the-hop-chronicles-african-queen-2021-pale-ale/
Amarillo,2016,USA,Pale Ale,2017-11-02,Known for orange and grapefruit along with floral and spicy notes,https://brulosophy.com/2017/11/02/the-hop-chronicles-amarillo-2016/
Amarillo,2021,USA,Pale Lager,2022-11-03,Released 1990; known for citrus and floral notes,https://brulosophy.com/2022/11/03/the-hop-chronicles-amarillo-2021-pale-lager/
Azacca,2016,USA,Pale Ale,2017-06-15,Moderately pungent tropical and stone fruit with solid bittering potential,https://brulosophy.com/2017/06/15/the-hop-chronicles-azacca/
Belma,2022,USA,Pale Ale,2023-10-05,Released 2012 by Puterbaugh Farms; fruity notes led by sweet strawberry,https://brulosophy.com/2023/10/05/the-hop-chronicles-belma-2022-pale-ale/
Bravo,2016,USA,Pale Ale,2017-04-13,"Descriptors included orange, vanilla and floral",https://brulosophy.com/2017/04/13/the-hop-chronicles-bravo/
Bru-1,2016,USA,Pale Ale,2017-03-02,Tropical-fruit-forward variety,https://brulosophy.com/2017/03/02/the-hop-chronicles-bru-1/
BRU-1 LUPOMAX,2020,USA,Pale Ale,2021-05-06,"Brulotte Farms with John I. Haas, experimental release 2016. Top blind-taster descriptors: citrus, tropical fruit, stone fruit, with floral rated highly",https://brulosophy.com/2021/05/06/the-hop-chronicles-bru-1-lupomax-2020/
California Chinook,2018,USA,Pale Ale,2018-09-13,,https://brulosophy.com/2018/09/13/the-hop-chronicles-california-chinook-2018/
